name,desc,filesize,created,last_modified
b2sum,A tool similar to the md5sum or shasum utilities but for BLAKE2.,502996,1457136284,1457136284
mmix,simulator and utils for donald knuth's MMIX architecture,308423,1549849493,1540070212
fontconfig,DESC-TODO,1723639,1553982692,1316404565
jsoncpp,DESC-TODO,200226,1519930661,1442232232
babl,support lib for gegl for color-space conversions,685707,1546152622,1357164452
visualboyadvance,"emulator for gameboy, gameboy color and gameboy advance",210060,1458939381,1404081681
ruby,interpreter for the ruby scripting language,15834941,1530281019,1363068556
fontforge,truetype font editor,13985256,1554594493,1551707981
monero,DESC-TODO,11227044,1519087883,1442232232
jupp,DESC-TODO,465769,1477828487,1397589548
base-dev,DESC-TODO,,1551892243,1316397394
voc,DESC-TODO,1156246,1480598049,1438825131
fontsproto,DESC-TODO,154087,1449602997,1311106590
sabotage-core,DESC-TODO,,1562823999,1462499139
mono,open-source implementation of the .NET Framework runtime and compiler,154477308,1498353627,1498353627
karchive,DESC-TODO,111712,1527991423,1527991423
base-sys,DESC-TODO,,1551892243,1551892243
vorbis-tools,DESC-TODO,1346532,1449584156,1340308864
freeglut,DESC-TODO,419095,1457011617,1442232232
sauerbraten,multiplayer & single-player FPS and game engine,589941180,1502153804,1502153804
bash,the bourne again shell. prerequisite to build lots of linux-centric sw.,10135110,1547919135,1377903331
kbd,DESC-TODO,1031864,1495593945,1351899563
mosh,DESC-TODO,308857,1530281019,1390630033
freeimage,DESC-TODO,7415716,1565144408,1565144408
vte2,DESC-TODO,962340,1488949260,1340308864
bazaar,a version control system written in python,11301124,1554255022,1430321759
kbproto,DESC-TODO,256988,1537322437,1302547266
sauerbraten-svn,multiplayer & single-player FPS and game engine,,1502138390,1502153804
mp,lightweight terminal text editor,504306,1463953811,1463943364
freetype,DESC-TODO,1926385,1546153046,1316404565
w3m,DESC-TODO,2202328,1510514444,1510514444
kernel,DESC-TODO,,1562071475,1302043414
bbe,stream editor for binaries,211590,1563894427,1341608981
mp-32,"older version of mp text editor, preferred by puppy/quirky linux",191455,1463954008,1463954008
sbase-join,POSIX join utility from sbase,,1488986607,1488986034
fribidi,DESC-TODO,2082617,1533098372,1340308864
bc,bc calculator and programming language interpreter,124920,1555523419,1522556106
kernel-headers,DESC-TODO,841752,1565914462,1340756184
wayland,DESC-TODO,372004,1441973438,1352527000
fte,text editor,625459,1564003072,1519060082
mp3blaster,DESC-TODO,329407,1521178498,1463045692
sbase-tarball,DESC-TODO,126655,1488986034,1488986034
bchunk,conversion of .cue/.bin cd image files into .iso format,15078,1443515546,1443515546
kernel-patch-414-100-101,DESC-TODO,564,1550874957,1550874957
ftgl,DESC-TODO,841597,1521165592,1340308864
webkitgtk1,DESC-TODO,8633640,1450355875,1383160995
mpc,DESC-TODO,669925,1561585106,1316404241
bcl,"basic compression library. readable, small and easy to use compression",91649,1486432019,1445371144
kernel-patch-414-101-102,DESC-TODO,22936,1550874957,1550874957
schismtracker,DESC-TODO,1074485,1549842029,1549842029
mpd,DESC-TODO,780064,1510765388,1340308864
fuse,DESC-TODO,661138,1521210712,1377331025
bdftopcf,a font compiler for the X server and font server,152881,1450817706,1416362485
webkitgtk2,DESC-TODO,16777676,1557373941,1535956325
kernel-patch-414-102-103,DESC-TODO,7656,1556058151,1556058151
mpd-mpc,DESC-TODO,109172,1510518196,1340308864
scons,build system written in python,599514,1443540139,1375438012
fzy,fast fuzzy finder,47432,1540520469,1540520469
bearssl,DESC-TODO,765094,1554004167,1483235927
kernel-patch-414-103-104,DESC-TODO,20392,1556058151,1556058151
weechat,IRC client for the terminal,2067180,1564596656,1378512872
mpfr,DESC-TODO,1133672,1561585106,1316404241
g++346,DESC-TODO,2511332,1486595333,1486595333
screen,terminal multiplexer,845210,1513117616,1377338865
bedrock,DESC-TODO,,1539486068,1316404241
kernel-patch-414-104-105,DESC-TODO,15676,1556058151,1556058151
g++424,DESC-TODO,4823317,1510335286,1510335286
bedrock-scripts,DESC-TODO,11594,1441973438,1347718980
mpg123,DESC-TODO,797694,1441973438,1357157215
wget,command line program for file downloads supporting various protocols,4392853,1546154259,1316050656
scrnsaverproto,DESC-TODO,118820,1537322799,1311106590
kernel-patch-414-105-106,DESC-TODO,39976,1556058151,1556058151
beep097,DESC-TODO,2056564,1441973438,1357232248
g++447,DESC-TODO,5923969,1441973438,1365722244
mpich,DESC-TODO,11862150,1469123788,1469123788
wine,windows API emulator to execute win32 binaries. requires x86 32bit TC,22924203,1488576525,1355958238
scrot,capture screenshots of X11 windows,74324,1497800443,1340308864
kernel-patch-414-106-107,DESC-TODO,9428,1556058151,1556058151
bgs,simple background image setter based on imlib2,4996,1553104421,1510457155
g++454,DESC-TODO,6477571,1441973438,1330472394
mplayer,media player with support for most audio/video formats,13278984,1477616300,1416362163
bigreqsproto,big requests extension for the X server,113218,1537322179,1311106590
scrot-debian-patches,DESC-TODO,9164,1497800443,1497800443
kernel-patch-414-107-108,DESC-TODO,62044,1556058151,1556058151
wine-staging,windows API emulator to execute win32 binaries. requires x86 32bit TC,19439328,1501145894,1355958238
g++464,DESC-TODO,6939359,1441973438,1367421016
bindutils,"utilities shipped with bind, the most widely used DNS server",8481111,1450817706,1385325778
mpv,media player forked from mplayer with major cleanups,3057997,1551971951,1377904353
kernel-patch-414-108-109,DESC-TODO,13316,1556058151,1556058151
gawk,DESC-TODO,2985412,1546153079,1302043414
wine-staging-patches,DESC-TODO,10137549,1501145894,1499523336
scummvm,DESC-TODO,22020384,1495331323,1495331323
binutils,"provides linker, assembler and other utils to handle object files",26099568,1563375216,1302367645
kernel-patch-414-109-110,DESC-TODO,30608,1556058151,1556058151
gcc-ecj-45,eclipse java compiler modified to be usable by gcc as gcj backend,1470676,1461852116,1461852116
mrxvt,DESC-TODO,603978,1462398322,1383336795
wireless-tools,DESC-TODO,294417,1461783097,1342748870
sdl,DESC-TODO,3920622,1557022745,1334415259
binwalk,DESC-TODO,271668,1486753364,1486753364
kernel-patch-414-110-111,DESC-TODO,36132,1556058151,1556058151
gcc-ecj-49,eclipse java compiler modified to be usable by gcc as gcj backend,1619429,1521603416,1521603416
msieve,program to factor big integers,976135,1491349664,1491349664
bison,a yacc-compatible parser generator,1650196,1549563916,1302547266
